DOC. ID    | DOC. PATH                                          
1          | input/A9.xml                                       
2          | input/A90.xml                                      
3          | input/A900.xml                                     
4          | input/A901.xml                                     
5          | input/A902.xml                                     
6          | input/A903.xml                                     
7          | input/A904.xml                                     
8          | input/A905.xml                                     
9          | input/A906.xml                                     
10         | input/A907.xml                                     
11         | input/A908.xml                                     
12         | input/A909.xml                                     
13         | input/A91.xml                                      
14         | input/A910.xml                                     
15         | input/A911.xml                                     
16         | input/A912.xml                                     
17         | input/A913.xml                                     
18         | input/A914.xml                                     
19         | input/A915.xml                                     
20         | input/A916.xml                                     
21         | input/A92.xml                                      
22         | input/A921.xml                                     
23         | input/A922.xml                                     
24         | input/A923.xml                                     
25         | input/A924.xml                                     
26         | input/A926.xml                                     
27         | input/A927.xml                                     
28         | input/A928.xml                                     
29         | input/A929.xml                                     
30         | input/A93.xml                                      
31         | input/A930.xml                                     
32         | input/A94.xml                                      
33         | input/A95.xml                                      
34         | input/A96.xml                                      
35         | input/A97.xml                                      
36         | input/A98.xml                                      
37         | input/Camilo-Amor_de_Perdicao-ospl.txt             
38         | input/teste.txt                                    
39         | input/teste2.txt                                   

TERM                 | DOC. FREQUENCY | POSTING LIST                   
famoso               | 1              | [37]                           
famosos              | 2              | [29, 37]                       
fanny                | 1              | [37]                           
fantasia             | 2              | [23, 37]                       
fantasma             | 1              | [37]                           
farda                | 1              | [37]                           
farei                | 1              | [37]                           
faria                | 2              | [26, 37]                       
fariam               | 1              | [37]                           
farias               | 1              | [37]                           
farinha              | 1              | [15]                           
farkas               | 1              | [29]                           
farpaao              | 1              | [19]                           
farsa                | 1              | [37]                           
farta                | 1              | [37]                           
farte                | 1              | [37]                           
fascinada            | 1              | [37]                           
fascinante           | 1              | [2]                            
fascista             | 1              | [2]                            
fase                 | 2              | [2, 11]                        
fatal                | 1              | [37]                           
fatima               | 1              | [14]                           
fatimiano            | 1              | [14]                           
fato                 | 1              | [37]                           
fatos                | 2              | [32, 37]                       
favas                | 1              | [37]                           
favoravel            | 1              | [32]                           
favorecer            | 1              | [2]                            
favoreceu-o          | 1              | [37]                           
favores              | 1              | [37]                           
faz-lhe              | 1              | [37]                           
faz-me               | 1              | [37]                           
faz-se               | 2              | [2, 37]                        
faze                 | 1              | [37]                           
fazela               | 1              | [37]                           
fazelo               | 4              | [1, 13, 20, 37]                
fazem-se             | 1              | [37]                           
fazendo              | 2              | [18, 37]                       
fazendo-lhe          | 1              | [37]                           
fazer-lhe            | 1              | [37]                           
fazer-me             | 1              | [37]                           
fazer-se             | 1              | [37]                           
fazer-te             | 1              | [37]                           
fazerem              | 1              | [37]                           
fazerem-na           | 1              | [37]                           
fazia-se             | 1              | [2]                            
faziao               | 1              | [37]                           
fbi                  | 2              | [7, 8]                         
fc                   | 2              | [17, 31]                       
fe                   | 4              | [2, 4, 14, 37]                 
febre                | 1              | [37]                           
febril               | 1              | [37]                           
fecha                | 1              | [21]                           
fechada              | 3              | [2, 5, 37]                     
fechadas             | 3              | [17, 31, 37]                   
fechado              | 2              | [15, 37]                       
fechadura            | 1              | [37]                           
fechando             | 1              | [37]                           
fechar               | 1              | [37]                           
fechar-se            | 1              | [37]                           
fecharam             | 1              | [3]                            
fecharam-se          | 1              | [37]                           
fecharia             | 1              | [37]                           
fechasse             | 1              | [37]                           
feche-a              | 1              | [37]                           
fechou               | 3              | [1, 13, 37]                    
fecundando           | 1              | [37]                           
federal              | 1              | [8]                            
feia                 | 1              | [37]                           
feicao               | 1              | [37]                           
feicoes              | 1              | [37]                           
feio                 | 1              | [37]                           
feira                | 3              | [2, 27, 37]                    
feirar               | 1              | [37]                           
feiras               | 1              | [37]                           
feita                | 5              | [8, 14, 21, 33, 37]            
feitio               | 1              | [37]                           
feito                | 6              | [15, 16, 19, 32, 35, 37]       
feitos               | 1              | [37]                           
fel                  | 1              | [37]                           
felicidade           | 1              | [37]                           
felicito-me          | 1              | [37]                           
felinos              | 1              | [9]                            
feliz                | 1              | [37]                           
felizes              | 1              | [25]                           
felizmente           | 2              | [11, 37]                       
felo                 | 1              | [14]                           
feminino             | 1              | [4]                            
fendesse             | 1              | [37]                           
fenomeno             | 2              | [2, 14]                        
fenos                | 1              | [37]                           
fera                 | 1              | [37]                           
feras                | 1              | [37]                           
feriado              | 1              | [15]                           
feriados             | 1              | [3]                            
ferias               | 2              | [32, 37]                       
ferida               | 1              | [37]                           
feridas              | 1              | [37]                           
ferido               | 1              | [37]                           
feridos              | 2              | [2, 37]                        
ferimento            | 1              | [37]                           
ferira               | 1              | [37]                           
fernanda             | 1              | [26]                           
fernando             | 5              | [3, 17, 18, 27, 31]            
fernao               | 1              | [37]                           
ferrada              | 1              | [37]                           
ferrador             | 1              | [37]                           
ferragem             | 1              | [37]                           
ferrando             | 1              | [37]                           
ferrar               | 1              | [37]                           
ferraz               | 1              | [2]                            
ferreira             | 3              | [1, 13, 22]                    
ferreiro             | 1              | [37]                           
ferro                | 2              | [19, 37]                       
ferrolhos            | 1              | [37]                           
ferros               | 1              | [37]                           
ferrou               | 1              | [37]                           
ferroviario          | 1              | [18]                           
fertil               | 3              | [1, 13, 27]                    
fervente             | 1              | [37]                           
ferver               | 1              | [37]                           
ferveu-lhe           | 1              | [37]                           
fervor               | 1              | [37]                           
fesap-federacao      | 1              | [16]                           
festa                | 4              | [17, 28, 31, 37]               
festejados           | 1              | [37]                           
festejavam           | 1              | [37]                           
festival             | 2              | [22, 29]                       
festivo              | 1              | [37]                           
festroia             | 1              | [29]                           
feveiro              | 1              | [2]                            
fevereiro            | 5              | [2, 16, 33, 35, 37]            
fez-se               | 2              | [2, 37]                        
fezes                | 1              | [8]                            
fiar                 | 1              | [37]                           
fiara                | 1              | [37]                           
fiavam               | 1              | [37]                           
fibras               | 1              | [37]                           
fica                 | 8              | [2, 17, 30, 31, 32, 33, 34, 37] 
ficado               | 4              | [3, 16, 18, 37]                
ficam                | 3              | [2, 14, 37]                    
ficamos              | 1              | [37]                           
ficar                | 6              | [8, 17, 26, 31, 33, 37]        
ficara               | 1              | [37]                           
ficaram              | 3              | [17, 31, 37]                   
ficarao              | 2              | [33, 37]                       
ficaras              | 1              | [37]                           
ficaria              | 1              | [37]                           
ficas                | 1              | [15]                           
ficasse              | 1              | [37]                           
ficasses             | 1              | [37]                           
ficaste              | 1              | [37]                           
ficava               | 1              | [37]                           
ficcao               | 2              | [2, 29]                        
ficcional            | 1              | [27]                           
ficha                | 1              | [14]                           
fico                 | 1              | [37]                           
ficou                | 10             | [2, 8, 15, 17, 18, 23, 31, 33, 35, 37] 
fidalga              | 1              | [37]                           
fidalgas             | 1              | [37]                           
fidalgo              | 1              | [37]                           
fidalgos             | 1              | [37]                           
fidalguia            | 1              | [37]                           
fidalguinha          | 1              | [37]                           
fidalguinho          | 1              | [37]                           
fidel                | 1              | [30]                           
fie                  | 1              | [37]                           
fieis                | 2              | [14, 37]                       
fiel                 | 3              | [14, 32, 37]                   
figura               | 3              | [2, 14, 37]                    
figurar              | 3              | [2, 26, 37]                    
figuras              | 2              | [2, 9]                         
figuravam            | 1              | [37]                           
filamentos           | 1              | [37]                           
filaucia             | 1              | [37]                           
fileira              | 1              | [37]                           
filha                | 1              | [37]                           
filhas               | 4              | [1, 13, 26, 37]                
filhinha             | 1              | [37]                           
filho                | 4              | [2, 7, 26, 37]                 
filhos               | 1              | [37]                           
filiacao             | 1              | [2]                            
filiado              | 1              | [32]                           
filipe               | 1              | [37]                           
filme                | 4              | [23, 24, 25, 29]               
filmes               | 3              | [22, 25, 29]                   
filosofia            | 3              | [1, 13, 37]                    
filosofos            | 1              | [37]                           
filtra               | 1              | [37]                           
fim-de-semana        | 1              | [32]                           
finados              | 1              | [37]                           
finais               | 2              | [7, 37]                        
finalizavam          | 1              | [37]                           
finalmente           | 3              | [12, 14, 33]                   
financa              | 1              | [2]                            
financas             | 6              | [2, 16, 19, 20, 33, 35]        
financeira           | 1              | [2]                            
financeiro           | 2              | [2, 35]                        
financeiros          | 5              | [17, 25, 31, 35, 36]           
financiamento        | 2              | [2, 35]                        
financiere           | 1              | [30]                           
fincava              | 1              | [37]                           
findar               | 1              | [37]                           
finezas              | 1              | [37]                           
finge                | 1              | [15]                           
finge-te             | 1              | [37]                           
fingia-se            | 1              | [37]                           
fingindo             | 1              | [37]                           
fingindo-se          | 1              | [37]                           
fingir-se            | 1              | [37]                           
fingiu               | 1              | [37]                           
fingiu-se            | 1              | [37]                           
fino                 | 1              | [37]                           
finos                | 1              | [37]                           
fins                 | 2              | [33, 37]                       
fins-de-semana       | 1              | [32]                           
fio                  | 1              | [37]                           
fioretta             | 1              | [29]                           
fios                 | 1              | [37]                           
fique                | 1              | [37]                           
fiquei               | 2              | [2, 37]                        
fiquem               | 1              | [37]                           
fiquemos             | 1              | [37]                           
firme                | 1              | [14]                           
firmemente           | 1              | [2]                            
firmeza              | 1              | [37]                           
firmino              | 1              | [20]                           
fiscais              | 2              | [33, 34]                       
fiscal               | 4              | [5, 16, 33, 34]                
fisco                | 1              | [2]                            
fiscopt              | 1              | [33]                           
fisica               | 1              | [37]                           
fisicos              | 1              | [37]                           
fisionomia           | 1              | [37]                           
fita-o               | 1              | [2]                            
fitala               | 1              | [37]                           
fitam                | 1              | [37]                           
fitando              | 1              | [37]                           
fitando-a            | 1              | [37]                           
fitara               | 1              | [37]                           
fitas                | 1              | [37]                           
fitava               | 1              | [37]                           
fito                 | 1              | [37]                           
fitos                | 1              | [37]                           
fitou                | 1              | [37]                           
fitou-os             | 1              | [37]                           
fivelas              | 1              | [37]                           
fixa                 | 1              | [36]                           
fixada               | 1              | [33]                           
fixidez              | 1              | [37]                           
fiz                  | 1              | [37]                           
fiz-lhe              | 1              | [37]                           
fiz-me               | 1              | [37]                           
fizera               | 1              | [37]                           
fizeram              | 3              | [15, 23, 37]                   
fizesse              | 2              | [2, 37]                        
fizeste              | 1              | [37]                           
flama                | 1              | [37]                           
flamingos            | 1              | [23]                           
flanco               | 1              | [37]                           
flato                | 1              | [37]                           
flauta               | 1              | [37]                           
flautas              | 1              | [37]                           
flautista            | 1              | [37]                           
flexivel             | 1              | [33]                           
flor                 | 1              | [37]                           
florenca             | 1              | [29]                           
florentinos          | 1              | [29]                           
flores               | 1              | [37]                           
floresceram          | 1              | [28]                           
florestas            | 1              | [37]                           
fluido               | 1              | [2]                            
fm                   | 1              | [19]                           
fnla                 | 1              | [2]                            
foge                 | 1              | [37]                           
fogem                | 1              | [37]                           
fogo                 | 1              | [37]                           
foi-lhe              | 1              | [37]                           
foi-o                | 1              | [37]                           
folclore             | 1              | [2]                            
folego               | 2              | [2, 37]                        
folgadas             | 1              | [37]                           
folgaria             | 1              | [37]                           
folgava              | 1              | [37]                           
folgo                | 1              | [37]                           
folha                | 1              | [37]                           
folhagem             | 1              | [37]                           
folhas               | 1              | [37]                           
folheando            | 1              | [37]                           
folhetim             | 1              | [2]                            
folheto              | 1              | [20]                           
fome                 | 2              | [15, 37]                       
fonseca              | 2              | [18, 27]                       
fonte                | 4              | [18, 26, 33, 37]               
fontes               | 2              | [4, 37]                        
forasteiros          | 1              | [15]                           
forca                | 5              | [2, 14, 15, 30, 37]            
forcado              | 1              | [37]                           
forcar               | 1              | [37]                           
forcara              | 1              | [37]                           
forcas               | 3              | [2, 15, 37]                    
forcassem            | 1              | [37]                           
force                | 1              | [37]                           
forcou-a             | 1              | [37]                           
forem                | 1              | [37]                           
forfetario           | 1              | [33]                           
forfetarios          | 1              | [33]                           
forja                | 1              | [2]                            
form                 | 1              | [38]                           
formacao             | 4              | [2, 4, 6, 33]                  
formacoes            | 1              | [12]                           
formada              | 1              | [37]                           
formadores           | 1              | [20]                           
formalmente          | 1              | [37]                           
formar               | 1              | [37]                           
formar-se            | 1              | [37]                           
formara              | 1              | [37]                           
formara-se           | 1              | [37]                           
formas               | 3              | [33, 36, 37]                   
formation            | 1              | [7]                            
formato              | 1              | [20]                           
formava              | 1              | [37]                           
formosa              | 1              | [37]                           
formosas             | 1              | [37]                           
formosissima         | 1              | [37]                           
formoso              | 1              | [37]                           
formosura            | 1              | [37]                           
formularios          | 1              | [20]                           
formule              | 1              | [30]                           
fornece              | 1              | [37]                           
fornecedor           | 1              | [7]                            
fornecer             | 1              | [20]                           
fortalecelo          | 1              | [37]                           
fortalecer           | 1              | [2]                            
fortalecido          | 1              | [37]                           
forte                | 3              | [30, 32, 37]                   
fortemente           | 5              | [1, 2, 11, 13, 36]             
fortes               | 3              | [1, 13, 32]                    
fortuna              | 1              | [37]                           
forum                | 1              | [29]                           
fosforo              | 1              | [11]                           
fosse                | 9              | [1, 2, 7, 11, 13, 17, 19, 31, 37] 
fossem               | 1              | [37]                           
fosses               | 1              | [37]                           
fotografia           | 1              | [2]                            
fotografias          | 1              | [26]                           
foz                  | 2              | [2, 37]                        
fr                   | 1              | [37]                           
fraca                | 1              | [37]                           
fraco                | 2              | [2, 37]                        
fragil               | 1              | [14]                           
fragmento            | 1              | [29]                           
franca               | 2              | [9, 37]                        
frances              | 2              | [9, 30]                        
francesa             | 2              | [2, 37]                        
francisca            | 1              | [14]                           
franciscanos         | 1              | [37]                           
francisco            | 2              | [2, 16]                        
franco               | 1              | [35]                           
franjas              | 1              | [2]                            
frank                | 1              | [2]                            
frankfurt            | 1              | [27]                           
franqueza            | 1              | [37]                           
fraqueza             | 1              | [37]                           
fraquinha            | 1              | [37]                           
frase                | 1              | [14]                           
frase-chave          | 1              | [7]                            
frases               | 1              | [37]                           
fraturada            | 1              | [37]                           
freguesia            | 3              | [7, 16, 37]                    
freguesias           | 1              | [2]                            
frei                 | 1              | [37]                           
freira               | 1              | [37]                           
freiras              | 1              | [37]                           
freire               | 1              | [2]                            
freitas              | 2              | [2, 28]                        
frenesi              | 1              | [37]                           
frenesim             | 1              | [2]                            
frenesis             | 1              | [37]                           
freneticamente       | 1              | [37]                           
frente               | 5              | [2, 12, 15, 16, 37]            
frequencia           | 2              | [14, 32]                       
frequenta            | 1              | [37]                           
frequentado          | 1              | [37]                           
frequentar           | 1              | [37]                           
frequentasse         | 1              | [37]                           
frequentava          | 1              | [37]                           
frequentemente       | 1              | [32]                           
frequentes           | 1              | [37]                           
frescas              | 1              | [33]                           
fresta               | 1              | [37]                           
fria                 | 1              | [37]                           
frialdade            | 1              | [37]                           
frias                | 1              | [37]                           
frieza               | 1              | [37]                           
frigido              | 1              | [37]                           
frio                 | 1              | [37]                           
frios                | 1              | [37]                           
frito                | 1              | [37]                           
froixos              | 1              | [37]                           
frontais             | 1              | [37]                           
fronte               | 1              | [37]                           
fronteira            | 2              | [15, 37]                       
fronteiras           | 1              | [16]                           
frouxa               | 1              | [37]                           
frouxo               | 1              | [37]                           
fruto                | 1              | [37]                           
frutos               | 1              | [37]                           
fuba                 | 1              | [15]                           
fueiro               | 1              | [37]                           
fuga                 | 3              | [2, 24, 37]                    
fugia-lhe            | 1              | [37]                           
fugido               | 1              | [37]                           
fugindo              | 1              | [37]                           
fugir                | 1              | [37]                           
fugira               | 1              | [37]                           
fugirei              | 1              | [37]                           
fugisse              | 1              | [37]                           
fugitiva             | 1              | [37]                           
fugitivo             | 1              | [37]                           
fugitivos            | 1              | [37]                           
fugiu                | 1              | [37]                           
fuja                 | 1              | [37]                           
fujas                | 1              | [37]                           
fujo                 | 1              | [37]                           
fulgor               | 1              | [37]                           
fulgurasse           | 1              | [37]                           
funcao               | 3              | [2, 16, 20]                    
funcionamento        | 2              | [3, 16]                        
funcionaram          | 1              | [16]                           
funcionarios         | 5              | [2, 3, 5, 16, 33]              
funcoes              | 2              | [33, 37]                       
funda                | 1              | [37]                           
fundado              | 2              | [1, 13]                        
fundador             | 1              | [37]                           
fundamentais         | 1              | [34]                           
fundamental          | 2              | [1, 13]                        
fundamento           | 1              | [2]                            
fundo                | 4              | [2, 25, 32, 37]                
fundos               | 2              | [1, 13]                        
funeral              | 1              | [37]                           
funesta              | 1              | [37]                           
funestos             | 1              | [37]                           
funileiro            | 1              | [37]                           
furao                | 1              | [37]                           
furia                | 1              | [37]                           
furiosamente         | 1              | [37]                           
furioso              | 2              | [15, 37]                       
furiosos             | 1              | [2]                            
fusao                | 2              | [32, 36]                       
fusoes               | 1              | [33]                           
fustao               | 1              | [37]                           
futebol              | 1              | [17]                           
futura               | 3              | [28, 33, 37]                   
futuras              | 2              | [5, 36]                        
futuro               | 6              | [2, 7, 17, 26, 31, 37]         
futuros              | 3              | [4, 7, 37]                     
gabinete             | 2              | [8, 20]                        
gabinetes            | 1              | [34]                           
gabu                 | 1              | [10]                           
gado                 | 2              | [2, 15]                        
gaia                 | 2              | [16, 37]                       
gala                 | 2              | [2, 37]                        
galardoada           | 1              | [29]                           
galas                | 1              | [37]                           
gales                | 1              | [37]                           
galgando             | 1              | [37]                           
galho                | 1              | [37]                           
galhofeiro           | 1              | [37]                           
galinha              | 1              | [37]                           
galinhas             | 1              | [37]                           
galo                 | 2              | [15, 37]                       
galope               | 1              | [37]                           
gambia               | 1              | [10]                           
gambiano             | 1              | [10]                           
gananciosos          | 2              | [17, 31]                       
ganha                | 3              | [2, 11, 37]                    
ganhar               | 6              | [14, 17, 19, 31, 32, 37]       
ganhe                | 1              | [37]                           
ganho                | 2              | [1, 13]                        
ganhos               | 2              | [33, 37]                       
ganhou               | 1              | [12]                           
garante              | 7              | [1, 2, 13, 15, 17, 26, 31]     
garantem             | 1              | [15]                           
garantias            | 1              | [3]                            
garantido            | 1              | [6]                            
garantir             | 1              | [30]                           
garantiram           | 2              | [2, 16]                        
garantisse           | 1              | [4]                            
garantiu             | 1              | [19]                           
garcia               | 1              | [9]                            
garganta             | 1              | [37]                           
garrafa              | 1              | [37]                           
garrafeira           | 1              | [37]                           
garras               | 1              | [37]                           
garrett              | 1              | [37]                           
garte                | 1              | [37]                           
gas                  | 1              | [33]                           
gases                | 1              | [33]                           
gasnete              | 1              | [37]                           
gasoleo              | 1              | [33]                           
gasta                | 1              | [37]                           
gastador             | 1              | [32]                           
gastadores           | 1              | [32]                           
gastaram             | 2              | [17, 31]                       
gatilho              | 1              | [37]                           
gattai               | 1              | [27]                           
gaveas               | 1              | [37]                           
gela                 | 1              | [37]                           
gementes             | 1              | [37]                           
gemer                | 1              | [37]                           
gemias               | 1              | [37]                           
gemido               | 1              | [37]                           
gemidos              | 1              | [37]                           
genealogias          | 1              | [37]                           
geneologia           | 1              | [37]                           
generais             | 1              | [37]                           
general              | 2              | [2, 37]                        
generalidade         | 1              | [33]                           
genero               | 3              | [14, 28, 37]                   
generos              | 1              | [28]                           
generosa             | 2              | [11, 37]                       
generosidade         | 1              | [37]                           
generoso             | 1              | [37]                           
genese               | 1              | [21]                           
genio                | 2              | [7, 37]                        
genios               | 1              | [37]                           
genro                | 3              | [1, 13, 37]                    
gente                | 8              | [2, 16, 17, 24, 26, 31, 32, 37] 
gentil               | 1              | [37]                           
george               | 1              | [24]                           
gera-se              | 1              | [2]                            
geracao              | 3              | [1, 13, 37]                    
geracoes             | 4              | [1, 13, 32, 37]                
geradores            | 1              | [18]                           
gerais               | 1              | [2]                            
geram                | 1              | [37]                           
gere                 | 1              | [32]                           
gerente              | 1              | [33]                           
gerida               | 1              | [30]                           
gerir                | 2              | [2, 32]                        
gestao               | 2              | [1, 13]                        
gesticulando         | 1              | [37]                           
gesticulava          | 1              | [37]                           
gesto                | 1              | [37]                           
gestor               | 1              | [30]                           
gibraltar            | 1              | [37]                           
giesta               | 1              | [37]                           
giestas              | 1              | [37]                           
gigantismos          | 2              | [1, 13]                        
gil                  | 2              | [17, 31]                       
ginetes              | 1              | [37]                           
glacial              | 1              | [37]                           
globais              | 2              | [7, 33]                        
global               | 4              | [1, 13, 14, 35]                
globalidade          | 1              | [32]                           
gloria               | 2              | [20, 37]                       
glorias              | 1              | [37]                           
gloriosos            | 1              | [37]                           
goa                  | 1              | [37]                           
golfadas             | 1              | [37]                           
golfe                | 2              | [15, 33]                       
golfinho             | 1              | [29]                           
golpe                | 2              | [2, 37]                        
golpes               | 2              | [2, 37]                        
golpistas            | 1              | [2]                            
gomes                | 4              | [2, 17, 18, 31]                
goncalves            | 1              | [2]                            
gonzos               | 1              | [37]                           
goodman              | 1              | [24]                           
gorda                | 1              | [37]                           
gorgomilos           | 1              | [37]                           
gorjeta              | 1              | [37]                           
gosta                | 2              | [1, 13]                        
gostam               | 1              | [20]                           
gostaria             | 1              | [11]                           
goste-se             | 1              | [2]                            
gosto                | 4              | [23, 26, 32, 37]               
gostou               | 1              | [37]                           
gotas                | 1              | [37]                           
governa              | 1              | [7]                            
governacao           | 2              | [27, 32]                       
governador           | 2              | [2, 35]                        
governadores         | 1              | [37]                           
governamentais       | 3              | [7, 15, 33]                    
governamental        | 2              | [2, 15]                        
governar             | 2              | [32, 37]                       
governo              | 11             | [1, 2, 7, 8, 13, 15, 16, 19, 32, 33, 35] 
goza                 | 1              | [14]                           
gozando              | 1              | [37]                           
gozasse              | 1              | [37]                           
gozo                 | 1              | [37]                           
gpl                  | 1              | [33]                           
grabretanha          | 1              | [29]                           
graca                | 1              | [37]                           
gracas               | 3              | [17, 31, 37]                   
grade                | 1              | [37]                           
gradeamento          | 1              | [37]                           
grades               | 1              | [37]                           
graduacao            | 1              | [4]                            
graduado             | 2              | [15, 37]                       
graduamos            | 1              | [37]                           
graduava             | 1              | [37]                           
gralheira            | 1              | [37]                           
gramatical           | 1              | [20]                           
grandemente          | 1              | [37]                           
grandeza             | 1              | [37]                           
granjear             | 1              | [37]                           
granjeara            | 1              | [37]                           
gratidao             | 1              | [37]                           
gratificacoes        | 1              | [33]                           
grato                | 1              | [37]                           
grau                 | 1              | [33]                           
gravatas             | 1              | [32]                           
grave                | 3              | [2, 18, 37]                    
graves               | 2              | [3, 18]                        
gravidade            | 1              | [37]                           
gravou               | 1              | [28]                           
grega                | 1              | [37]                           
greve                | 5              | [2, 3, 16, 18, 19]             
greves               | 1              | [16]                           
griffith             | 1              | [23]                           
grinaldas            | 1              | [37]                           
grita                | 1              | [37]                           
gritar               | 1              | [8]                            
